customer_id,first_name,last_name,email,country,signup_date
CUST00001,Danielle,Garcia,valerieboyd@example.com,Swaziland,2023-05-14
CUST00002,Angel,Jennings,joshua89@example.net,Bolivia,2024-04-25
CUST00003,Joshua,Stephens,conniesimmons@example.com,Korea,2023-08-08
CUST00004,Jeffrey,Levine,comptonshelly@example.net,Lithuania,2022-12-18
CUST00005,Jill,Howard,ufloyd@example.net,Dominican Republic,2025-03-03
CUST00006,Erica,Sanders,trussell@example.com,Belize,2024-04-07
CUST00007,Patricia,Lopez,karenwells@example.org,Moldova,2023-01-15
CUST00008,Christopher,Martinez,meredith27@example.org,Sao Tome and Principe,2024-11-02
CUST00009,Robert,Charles,jfaulkner@example.net,American Samoa,2025-09-04
CUST00010,Anthony,Gibson,paulscott@example.com,Puerto Rico,2024-09-04
CUST00011,Jeffery,Bates,nielsenmelanie@example.org,Saint Martin,2025-04-18
CUST00012,William,May,brettbennett@example.net,Ireland,2025-01-25
CUST00013,Anthony,Harper,russojacob@example.net,Zambia,2024-09-02
CUST00014,James,Smith,timothybooth@example.com,Cuba,2024-01-06
CUST00015,Debra,Buchanan,susan03@example.org,Bulgaria,2022-12-19
CUST00016,Amy,Sanchez,burgesskaren@example.org,Guinea-Bissau,2025-11-03
CUST00017,Jeffrey,Martinez,randyallen@example.com,French Polynesia,2024-11-16
CUST00018,Bridget,Cunningham,oscar85@example.com,Dominican Republic,2025-05-19
CUST00019,Lisa,Jones,michael77@example.org,Oman,2022-12-22
CUST00020,Adam,Hubbard,ugill@example.org,Bermuda,2024-03-23
CUST00021,Linda,Clark,lawrence09@example.org,Andorra,2024-06-26
CUST00022,Helen,Robinson,allentran@example.net,Lesotho,2025-04-22
CUST00023,Matthew,Kane,mphillips@example.com,Paraguay,2024-07-16
CUST00024,Eric,Murphy,noahwhitaker@example.com,Gambia,2024-04-01
CUST00025,Susan,Hernandez,jonathan77@example.com,Central African Republic,2025-04-25
CUST00026,Matthew,Lester,jessicabell@example.org,Romania,2023-04-18
CUST00027,Christopher,Smith,iwhite@example.net,Kuwait,2024-12-15
CUST00028,Colin,Garrison,warrenmary@example.org,Togo,2023-04-22
CUST00029,Melanie,Thomas,duranrobert@example.net,Montserrat,2025-10-26
CUST00030,Cassandra,Anderson,carloshernandez@example.org,San Marino,2025-10-01
CUST00031,Lindsay,King,nbrooks@example.net,Myanmar,2023-10-03
CUST00032,Jessica,Thompson,bhopkins@example.org,Anguilla,2024-04-22
CUST00033,Amanda,Guerrero,hsmith@example.net,Korea,2024-12-28
CUST00034,Teresa,Johnson,amanda40@example.net,Kyrgyz Republic,2025-01-07
CUST00035,Nicholas,Smith,ldrake@example.org,Sierra Leone,2025-09-19
CUST00036,Andrea,Tyler,warrenjohn@example.net,Burundi,2024-04-28
CUST00037,Maria,Young,lisa46@example.org,Tunisia,2023-08-03
CUST00038,Christine,Morris,susan79@example.org,Romania,2025-06-30
CUST00039,Michelle,Thompson,kevinclayton@example.org,Iraq,2024-02-26
CUST00040,Barbara,Williams,davisnicholas@example.net,Colombia,2024-06-04
CUST00041,Janet,Harmon,abrown@example.net,Somalia,2024-09-25
CUST00042,Brandon,Fox,christopherbruce@example.net,Tunisia,2023-09-27
CUST00043,Jeremy,Reese,ariel18@example.org,Heard Island and McDonald Islands,2024-12-28
CUST00044,Keith,Alvarez,jasonparrish@example.net,Niue,2025-08-01
CUST00045,Christopher,Strickland,enelson@example.net,Kyrgyz Republic,2023-03-15
CUST00046,Jesse,Palmer,rachel90@example.org,Romania,2025-02-27
CUST00047,Craig,Rodriguez,alexis39@example.org,North Macedonia,2023-10-16
CUST00048,Joshua,Gordon,thickman@example.org,Afghanistan,2024-02-07
CUST00049,Cynthia,Dougherty,ashleyatkinson@example.net,Tokelau,2024-01-03
CUST00050,Michael,Williams,patrick21@example.net,Niue,2023-01-30
CUST00051,Mitchell,Logan,brian63@example.org,Barbados,2024-02-22
CUST00052,Jason,Camacho,cassie99@example.com,Hungary,2025-04-26
